Player Hands,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Ace
20,Double,Stay,Double,Stay,Stay,Double,Stay,Double,Double,Double
19,Stay,Double,Hit,Stay,Hit,Double,Hit,Double,Hit,Stay
18,Stay,Stay,Hit,Hit,Stay,Double,Hit,Hit,Hit,Hit
17,Stay,Hit,Double,Hit,Hit,Double,Double,Stay,Double,Hit
16,Double,Double,Double,Hit,Hit,Double,Hit,Stay,Double,Stay
15,Hit,Hit,Hit,Stay,Double,Stay,Double,Stay,Double,Stay
14,Hit,Stay,Hit,Hit,Stay,Stay,Hit,Double,Hit,Hit
13,Stay,Stay,Hit,Double,Stay,Double,Stay,Double,Stay,Double
12,Stay,Stay,Stay,Hit,Hit,Double,Hit,Stay,Hit,Double
11,Stay,Double,Stay,Hit,Stay,Hit,Stay,Hit,Hit,Stay
10,Hit,Double,Double,Hit,Hit,Hit,Hit,Stay,Hit,Hit
9,Hit,Stay,Double,Stay,Double,Hit,Stay,Hit,Stay,Hit
8,Double,Stay,Stay,Hit,Stay,Double,Stay,Stay,Double,Hit
7,Hit,Stay,Double,Hit,Stay,Hit,Hit,Stay,Stay,Hit
6,Double,Double,Hit,Double,Hit,Double,Double,Stay,Double,Hit
5,Stay,Double,Hit,Hit,Hit,Stay,Hit,Hit,Double,Hit
A11,Double,Hit,Double,Hit,Double,Double,Hit,Stay,Stay,Stay
A10,Hit,Stay,Hit,Double,Double,Double,Double,Stay,Double,Hit
A9,Hit,Hit,Hit,Hit,Stay,Double,Hit,Double,Double,Stay
A8,Double,Double,Stay,Double,Hit,Double,Double,Stay,Hit,Hit
A7,Double,Stay,Stay,Hit,Double,Stay,Double,Stay,Hit,Hit
A6,Double,Stay,Hit,Hit,Hit,Stay,Double,Hit,Stay,Stay
A5,Hit,Stay,Stay,Double,Hit,Double,Double,Stay,Stay,Hit
A4,Double,Stay,Double,Stay,Double,Double,Hit,Double,Hit,Hit
A3,Double,Stay,Hit,Stay,Stay,Stay,Hit,Hit,Stay,Double
A2,Double,Double,Hit,Hit,Hit,Hit,Stay,Stay,Hit,Stay
A1,Double,Double,Double,Double,Stay,Stay,Double,Hit,Stay,Hit
S11,Double,Double,Split,Split,Hit,Hit,Split,Stay,Hit,Hit
S10,Stay,Stay,Double,Split,Stay,Hit,Stay,Stay,Double,Hit
S9,Hit,Double,Hit,Double,Double,Double,Stay,Hit,Hit,Split
S8,Stay,Split,Split,Hit,Hit,Stay,Hit,Double,Stay,Double
S7,Stay,Hit,Hit,Double,Hit,Stay,Split,Hit,Double,Stay
S6,Stay,Hit,Double,Double,Double,Hit,Split,Stay,Double,Split
S5,Double,Hit,Hit,Hit,Split,Hit,Stay,Double,Double,Stay
S4,Hit,Hit,Stay,Stay,Double,Double,Double,Hit,Split,Stay
S3,Split,Hit,Split,Split,Stay,Stay,Stay,Double,Hit,Double
S2,Hit,Stay,Double,Double,Split,Split,Split,Hit,Double,Hit
S1,Split,Split,Stay,Double,Split,Double,Stay,Hit,Double,Hit
