PH,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Ace
20,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay
19,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay
18,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay
17,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay
16,Stay,Stay,Stay,Stay,Stay,Hit,Hit,Hit,Hit,Hit
15,Stay,Stay,Stay,Stay,Stay,Hit,Hit,Hit,Hit,Hit
14,Stay,Stay,Stay,Stay,Stay,Hit,Hit,Hit,Hit,Hit
13,Stay,Stay,Stay,Stay,Stay,Hit,Hit,Hit,Hit,Hit
12,Hit,Hit,Stay,Stay,Stay,Hit,Hit,Hit,Hit,Hit
11,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
10,Double,Double,Double,Double,Double,Double,Double,Double,Hit,Hit
9,Hit,Double,Double,Double,Double,Hit,Double,Hit,Hit,Hit
8,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
7,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
6,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
5,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
4,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
A10,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay
A9,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay
A8,Stay,Stay,Stay,Stay,Double,Stay,Stay,Stay,Stay,Stay
A7,Double,Double,Double,Double,Double,Stay,Stay,Hit,Hit,Hit
A6,Hit,Double,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
A5,Hit,Hit,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
A4,Hit,Hit,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
A3,Hit,Hit,Hit,Double,Double,Hit,Hit,Hit,Hit,Hit
A2,Hit,Hit,Hit,Double,Double,Hit,Hit,Hit,Hit,Hit
A1,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split
S11,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split
S10,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay
S9,Split,Split,Split,Split,Split,Stay,Split,Split,Stay,Stay
S8,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split
S7,Split,Split,Split,Split,Split,Split,Stay,Stay,Stay,Stay
S6,Split,Split,Split,Split,Split,Stay,Stay,Stay,Stay,Stay
S5,Split,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay,Stay
S4,Split,Stay,Stay,Stay,Split,Split,Stay,Stay,Stay,Stay
S3,Split,Split,Split,Split,Split,Split,Split,Stay,Stay,Stay
S2,Split,Split,Split,Split,Split,Split,Split,Stay,Stay,Stay
Test,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Ace
